ISP,L0,L1,L2,L3,FITS  KW,Type,Lower Limit,Upper Limit,FITS Comment,Comment
X,X,,,,XTENSION,String,,,,Assuming L0 data is written as a binary table in the first extension like for IRIS
X,X,,,,BITPIX  ,Integer,,,,created by astropy fits
X,X,,,,NAXIS   ,Integer,,,,created by astropy fits
X,X,,,,NAXIS1  ,Integer,,,,created by astropy fits
X,X,,,,NAXIS2  ,Integer,,,,created by astropy fits
X,X,,,,PCOUNT  ,Integer,,,,created by astropy fits
X,X,,,,GCOUNT  ,Integer,,,,created by astropy fits
X,X,,,,TFIELDS ,Integer,,,,created by astropy fits
X,X,,,,ZIMAGE  ,Boolean,,,,created by astropy fits
X,X,,,,ZTENSION,String,,,,created by astropy fits
X,X,,,,ZBITPIX ,Integer,,,,created by astropy fits
X,X,,,,ZNAXIS  ,Integer,,,,created by astropy fits
X,X,,,,ZNAXIS1 ,Integer,,,,created by astropy fits
X,X,,,,ZNAXIS2 ,Integer,,,,created by astropy fits
X,X,,,,ZPCOUNT,Integer,,,,created by astropy fits
X,X,,,,ZGCOUNT,Integer,,,,created by astropy fits
X,X,,,,ZTILE1  ,Integer,,,,created by astropy fits
X,X,,,,ZTILE2  ,Integer,,,,created by astropy fits
X,X,,,,ZCMPTYPE,String,,,,created by astropy fits
X,X,,,,ZNAME1  ,String,,,,created by astropy fits
X,X,,,,ZVAL1   ,Integer,,,,created by astropy fits
X,X,,,,ZNAME2  ,String,,,,created by astropy fits
X,X,,,,ZVAL2   ,Integer,,,,created by astropy fits
X,X,,,,EXTNAME,String,,,,created by astropy fits
X,X,,,,BZERO,Integer,,,,created by astropy fits
X,X,,,,BSCALE,Integer,,,,created by astropy fits
X,X,,,,FILENAME,String,,,,
X,X,,,,SOLARNET,Float,,,,
X,X,,,,OBS_HDU,Boolean,,,,
X,X,,,,ORIGIN  ,String,,,,
X,X,,,,TELESCOP,String,,,,
X,X,,,,BLD_VERS,String,,,,
X,X,,,,LEVEL,Integer,,,,
X,X,,,,DATE    ,String,,,,
X,X,,,,DATE-OBS,String,,,,
X,X,,,,DATE-BEG,String,,,,
X,X,,,,T_OBS   ,String,,,,
X,X,,,,IMGFPT  ,String,,,,
X,X,,,,,Integer,0,4294967295,CCSDS_SECONDS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,CCSDS_SUBSECS,FITS comment is ISP mnemonic
X,X,,,,MSQ_FSN,Integer,0,4294967295,FSN,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,ISP_CREATE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,ISP_CREATED_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,READOUT_ISP_DONE_TIME_SEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,READOUT_ISP_DONE_TIME_SUBSEC,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,65535,ISP_VERSION,FITS comment is ISP mnemonic
X,X,,,,MSQCIFDB,Integer,0,4294967295,SEQUENCER_CI_FDB_ID,FITS comment is ISP mnemonic
X,X,,,,MSQSG108,Integer,0,4294967295,SEQUENCER_SG_CCD1_FDB_ID,FITS comment is ISP mnemonic
X,X,,,,MSQSG171,Integer,0,4294967295,SEQUENCER_SG_CCD2_FDB_ID,FITS comment is ISP mnemonic
X,X,,,,MSQSG284,Integer,0,4294967295,SEQUENCER_SG_CCD3_FDB_ID,FITS comment is ISP mnemonic
X,X,,,,MSQOEQSE,Integer,0,4294967295,SEQUENCER_ORB_EQUATOR_SECONDS,FITS comment is ISP mnemonic
X,X,,,,MSQOEQSS,Integer,0,4294967295,SEQUENCER_ORB_EQUATOR_SUBSECONDS,FITS comment is ISP mnemonic
X,X,,,,MSQORBPD,Integer,0,4294967295,SEQUENCER_ORB_PERIOD_SECONDS,FITS comment is ISP mnemonic
X,X,,,,,Integer,0,4294967295,SEQUENCER_ORB_PERIOD_SUBSECONDS,FITS comment is ISP mnemonic
X,X,,,,MSQSGGWT,Integer,0,65535,SEQUENCER_OWT_ID,FITS comment is ISP mnemonic
X,X,,,,MSQSGSRT,Integer,0,65535,SEQUENCER_SRT_ID,FITS comment is ISP mnemonic
X,X,,,,MSSGPZTA,Integer,0,65535,SEQUENCER_SG_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,MSSGPZTB,Integer,0,65535,SEQUENCER_SG_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,MSSGPZTC,Integer,0,65535,SEQUENCER_SG_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,MSCIPZTA,Integer,0,65535,SEQUENCER_CI_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_A,FITS comment is ISP mnemonic
X,X,,,,MSCIPZTB,Integer,0,65535,SEQUENCER_CI_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_B,FITS comment is ISP mnemonic
X,X,,,,MSCIPZTC,Integer,0,65535,SEQUENCER_CI_FRAME_LIST_PZT_OFFSET_PZT_OFFSET_C,FITS comment is ISP mnemonic
X,X,,,,MSQOLTDX,Integer,0,65535,SEQUENCER_OBS_LIST_STAT_CURRENT_OL_INDX,FITS comment is ISP mnemonic
